District,STATE,TEHSIL,Shape_Leng,Shape_Area,MED_DESCRI,RTT_DESCRI,F_CODE_DES,ISO,ISOCOUNTRY,District_2,STATE_2,TEHSIL_2,Shape_Le_1,Shape_Ar_1,RoadLength,RoadDensit
KANN@R,KERALA,TALASSERI,215536.09747099999,590156712.91799998283,Without Median,Secondary Route,Road,IND,INDIA,KANN@R,KERALA,TALASSERI,215536.09747099999,590156712.91799998283,7287.837,0.012
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,Without Median,Secondary Route,Road,IND,INDIA,KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,19576.223,0.023
MALAPPURAM,KERALA,TIR@R,145593.95953299999,456464150.53700000048,Without Median,Secondary Route,Road,IND,INDIA,MALAPPURAM,KERALA,TIR@R,145593.95953299999,456464150.53700000048,32176.178,0.070
MALAPPURAM,KERALA,TIR@RANG>DI,115367.48100400000,261846953.95600000024,Without Median,Secondary Route,Road,IND,INDIA,MALAPPURAM,KERALA,TIR@RANG>DI,115367.48100400000,261846953.95600000024,32483.982,0.124
PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,Without Median,Secondary Route,Road,IND,INDIA,PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,21308.629,0.125
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,Without Median,Secondary Route,Road,IND,INDIA,THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,9907.484,0.031
IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,Without Median,Secondary Route,Road,IND,INDIA,IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,83855.581,0.154
TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,Unknown,Unknown,Road,IND,INDIA,TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,31501.289,0.047
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,Without Median,Secondary Route,Road,IND,INDIA,IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,24522.080,0.042
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,Without Median,Secondary Route,Road,IND,INDIA,KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,16511.876,0.028
KOTTAYAM,KERALA,VAIKAM,98292.83761350000,327082387.22100001574,Unknown,Primary Route,Road,IND,INDIA,KOTTAYAM,KERALA,VAIKAM,98292.83761350000,327082387.22100001574,11190.837,0.034
WAYANAD,KERALA,VAITHIRY,166868.10710900000,620793109.70500004292,Without Median,Secondary Route,Road,IND,INDIA,WAYANAD,KERALA,VAITHIRY,166868.10710900000,620793109.70500004292,11900.794,0.019
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,Without Median,Secondary Route,Road,IND,INDIA,THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,14072.574,0.082
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,Without Median,Secondary Route,Road,IND,INDIA,K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,823.471,0.002
