District,STATE,TEHSIL,Shape_Leng,Shape_Area,F_CODE_DES,HYC_DESCRI,NAM,ISO,NAME_0,District_2,STATE_2,TEHSIL_2,Shape_Le_1,Shape_Ar_1,RiverLengt,RiverDensi
PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,River/Stream,Perennial/Permanent,UNK,IND,India,PATTANAMTHITTA,KERALA,TIRUVALLA,99671.56113870000,170861805.99200001359,3175.451,0.019
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,River/Stream,Perennial/Permanent,UNK,IND,India,THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,26394.721,0.082
IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,River/Stream,Perennial/Permanent,UNK,IND,India,IDUKKI,KERALA,TODUPUZHA,139186.84362100001,543208919.48099994659,24513.838,0.045
TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,River/Stream,Non-Perennial/Intermittent/Fluctuating,UNK,IND,India,TRISS@R,KERALA,TRISS@R,162226.48102300000,671658294.02400004864,5134.151,0.008
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,River/Stream,Perennial/Permanent,UNK,IND,India,IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,3975.873,0.007
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,River/Stream,Perennial/Permanent,UNK,IND,India,KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,12428.502,0.021
KOTTAYAM,KERALA,VAIKAM,98292.83761350000,327082387.22100001574,River/Stream,Perennial/Permanent,UNK,IND,India,KOTTAYAM,KERALA,VAIKAM,98292.83761350000,327082387.22100001574,15883.560,0.049
WAYANAD,KERALA,VAITHIRY,166868.10710900000,620793109.70500004292,River/Stream,Perennial/Permanent,UNK,IND,India,WAYANAD,KERALA,VAITHIRY,166868.10710900000,620793109.70500004292,24872.337,0.040
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,River/Stream,Non-Perennial/Intermittent/Fluctuating,UNK,IND,India,THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,7720.684,0.045
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,River/Stream,Perennial/Permanent,UNK,IND,India,K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,41334.077,0.076
